angle,heading,timestamp
39,128,2022-08-26 16:59
40,128,2022-08-26 16:59
39,127,2022-08-26 16:59
40,126,2022-08-26 16:59
39,125,2022-08-26 16:59
40,124,2022-08-26 16:59
39,121,2022-08-26 16:59
39,121,2022-08-26 16:59
38,119,2022-08-26 16:59
39,118,2022-08-26 16:59
40,116,2022-08-26 16:59
40,115,2022-08-26 16:59
39,113,2022-08-26 16:59
39,112,2022-08-26 16:59
40,110,2022-08-26 16:59
41,109,2022-08-26 16:59
40,109,2022-08-26 16:59
40,108,2022-08-26 16:59
39,107,2022-08-26 16:59
40,105,2022-08-26 16:59
39,103,2022-08-26 16:59
39,102,2022-08-26 16:59
38,100,2022-08-26 16:59
38,98,2022-08-26 16:59
38,96,2022-08-26 16:59
39,94,2022-08-26 16:59
40,93,2022-08-26 16:59
41,93,2022-08-26 16:59
40,90,2022-08-26 16:59
40,88,2022-08-26 16:59
39,88,2022-08-26 16:59
38,85,2022-08-26 16:59
37,84,2022-08-26 16:59
38,83,2022-08-26 16:59
38,81,2022-08-26 16:59
39,80,2022-08-26 16:59
38,78,2022-08-26 16:59
39,77,2022-08-26 16:59
38,76,2022-08-26 16:59
39,74,2022-08-26 16:59
39,73,2022-08-26 16:59
40,72,2022-08-26 16:59
40,71,2022-08-26 16:59
39,69,2022-08-26 16:59
40,67,2022-08-26 16:59
39,66,2022-08-26 16:59
39,66,2022-08-26 16:59
39,64,2022-08-26 16:59
39,62,2022-08-26 17:00
39,62,2022-08-26 17:00
39,61,2022-08-26 17:00
38,60,2022-08-26 17:00
39,57,2022-08-26 17:00
38,57,2022-08-26 17:00
38,57,2022-08-26 17:00
38,57,2022-08-26 17:00
38,56,2022-08-26 17:00
39,53,2022-08-26 17:00
39,50,2022-08-26 17:00
40,49,2022-08-26 17:00
40,50,2022-08-26 17:00
40,48,2022-08-26 17:00
40,47,2022-08-26 17:00
39,47,2022-08-26 17:00
39,45,2022-08-26 17:00
39,44,2022-08-26 17:00
39,42,2022-08-26 17:00
40,41,2022-08-26 17:00
39,40,2022-08-26 17:00
39,40,2022-08-26 17:00
37,40,2022-08-26 17:00
38,39,2022-08-26 17:00
38,39,2022-08-26 17:00
39,38,2022-08-26 17:00
39,38,2022-08-26 17:00
38,37,2022-08-26 17:00
39,37,2022-08-26 17:00
39,37,2022-08-26 17:00
39,37,2022-08-26 17:00
39,37,2022-08-26 17:00
40,37,2022-08-26 17:00
40,37,2022-08-26 17:00
40,36,2022-08-26 17:00
39,36,2022-08-26 17:00
40,36,2022-08-26 17:00
39,35,2022-08-26 17:00
40,35,2022-08-26 17:00
40,36,2022-08-26 17:00
39,35,2022-08-26 17:00
39,35,2022-08-26 17:00
38,36,2022-08-26 17:00
39,35,2022-08-26 17:00
38,36,2022-08-26 17:00
39,36,2022-08-26 17:00
38,36,2022-08-26 17:00
39,35,2022-08-26 17:00
38,35,2022-08-26 17:00
38,37,2022-08-26 17:00
38,38,2022-08-26 17:00
39,38,2022-08-26 17:00
40,40,2022-08-26 17:00
40,41,2022-08-26 17:00
41,41,2022-08-26 17:00
40,42,2022-08-26 17:00
39,43,2022-08-26 17:00
38,45,2022-08-26 17:00
39,46,2022-08-26 17:00
38,47,2022-08-26 17:00
38,48,2022-08-26 17:00
39,50,2022-08-26 17:00
41,51,2022-08-26 17:00
40,52,2022-08-26 17:00
39,54,2022-08-26 17:00
38,56,2022-08-26 17:00
39,58,2022-08-26 17:00
39,59,2022-08-26 17:00
40,60,2022-08-26 17:00
39,60,2022-08-26 17:00
38,61,2022-08-26 17:00
38,64,2022-08-26 17:00
38,64,2022-08-26 17:00
39,65,2022-08-26 17:00
39,67,2022-08-26 17:00
39,69,2022-08-26 17:00
39,71,2022-08-26 17:00
38,72,2022-08-26 17:00
39,72,2022-08-26 17:00
39,74,2022-08-26 17:00
40,76,2022-08-26 17:00
39,76,2022-08-26 17:00
39,78,2022-08-26 17:00
39,80,2022-08-26 17:00
40,82,2022-08-26 17:00
40,83,2022-08-26 17:00
39,85,2022-08-26 17:00
38,86,2022-08-26 17:00
39,86,2022-08-26 17:00
39,88,2022-08-26 17:00
40,91,2022-08-26 17:00
39,92,2022-08-26 17:00
39,93,2022-08-26 17:00
39,93,2022-08-26 17:00
39,96,2022-08-26 17:00
40,98,2022-08-26 17:00
40,100,2022-08-26 17:00
39,100,2022-08-26 17:00
39,102,2022-08-26 17:00
39,103,2022-08-26 17:00
40,105,2022-08-26 17:00
39,106,2022-08-26 17:00
38,107,2022-08-26 17:00
39,109,2022-08-26 17:00
39,111,2022-08-26 17:00
40,111,2022-08-26 17:00
39,112,2022-08-26 17:00
39,114,2022-08-26 17:00
38,116,2022-08-26 17:00
39,117,2022-08-26 17:00
40,118,2022-08-26 17:00
40,119,2022-08-26 17:00
39,121,2022-08-26 17:00
38,122,2022-08-26 17:00
38,123,2022-08-26 17:00
38,124,2022-08-26 17:00
39,126,2022-08-26 17:00
39,128,2022-08-26 17:00
40,128,2022-08-26 17:00
40,129,2022-08-26 17:00
40,131,2022-08-26 17:00
39,132,2022-08-26 17:00
39,133,2022-08-26 17:00
40,134,2022-08-26 17:00
40,134,2022-08-26 17:00
40,136,2022-08-26 17:00
40,138,2022-08-26 17:00
40,140,2022-08-26 17:00
39,140,2022-08-26 17:00
39,140,2022-08-26 17:00
39,140,2022-08-26 17:00
40,140,2022-08-26 17:00
